CAIXA_ID,CLASSE_ONDA,SKU,PECAS
12,CLASSE_ONDA_1,SKU_1,1
12,CLASSE_ONDA_1,SKU_2,1
12,CLASSE_ONDA_1,SKU_3,1
12,CLASSE_ONDA_1,SKU_4,1
12,CLASSE_ONDA_1,SKU_5,1
12,CLASSE_ONDA_1,SKU_6,4
12,CLASSE_ONDA_1,SKU_7,9
12,CLASSE_ONDA_1,SKU_8,10
12,CLASSE_ONDA_1,SKU_9,4
12,CLASSE_ONDA_1,SKU_10,2
12,CLASSE_ONDA_1,SKU_11,1
12,CLASSE_ONDA_1,SKU_12,2
12,CLASSE_ONDA_1,SKU_13,9
12,CLASSE_ONDA_1,SKU_14,8
12,CLASSE_ONDA_1,SKU_15,8
12,CLASSE_ONDA_1,SKU_16,5
12,CLASSE_ONDA_1,SKU_17,1
13,CLASSE_ONDA_1,SKU_18,1
13,CLASSE_ONDA_1,SKU_19,1
13,CLASSE_ONDA_1,SKU_20,1
13,CLASSE_ONDA_1,SKU_21,1
13,CLASSE_ONDA_1,SKU_22,1
13,CLASSE_ONDA_1,SKU_23,1
13,CLASSE_ONDA_1,SKU_24,1
13,CLASSE_ONDA_1,SKU_25,1
13,CLASSE_ONDA_1,SKU_26,1
13,CLASSE_ONDA_1,SKU_27,1
13,CLASSE_ONDA_1,SKU_5,1
13,CLASSE_ONDA_1,SKU_29,3
13,CLASSE_ONDA_1,SKU_30,1
13,CLASSE_ONDA_1,SKU_31,1
13,CLASSE_ONDA_1,SKU_32,1
13,CLASSE_ONDA_1,SKU_33,1
13,CLASSE_ONDA_1,SKU_34,1
13,CLASSE_ONDA_1,SKU_6,1
13,CLASSE_ONDA_1,SKU_7,1
13,CLASSE_ONDA_1,SKU_8,1
13,CLASSE_ONDA_1,SKU_9,3
13,CLASSE_ONDA_1,SKU_10,1
13,CLASSE_ONDA_1,SKU_40,1
13,CLASSE_ONDA_1,SKU_41,1
13,CLASSE_ONDA_1,SKU_13,3
13,CLASSE_ONDA_1,SKU_14,6
13,CLASSE_ONDA_1,SKU_15,6
13,CLASSE_ONDA_1,SKU_16,4
13,CLASSE_ONDA_1,SKU_46,1
13,CLASSE_ONDA_1,SKU_47,1
13,CLASSE_ONDA_1,SKU_17,1
45,CLASSE_ONDA_1,SKU_49,1
45,CLASSE_ONDA_1,SKU_2,1
45,CLASSE_ONDA_1,SKU_51,1
45,CLASSE_ONDA_1,SKU_52,1
45,CLASSE_ONDA_1,SKU_53,1
45,CLASSE_ONDA_1,SKU_6,3
45,CLASSE_ONDA_1,SKU_7,2
45,CLASSE_ONDA_1,SKU_8,6
45,CLASSE_ONDA_1,SKU_9,3
45,CLASSE_ONDA_1,SKU_10,2
45,CLASSE_ONDA_1,SKU_59,3
45,CLASSE_ONDA_1,SKU_60,1
45,CLASSE_ONDA_1,SKU_61,1
45,CLASSE_ONDA_1,SKU_62,2
45,CLASSE_ONDA_1,SKU_63,2
45,CLASSE_ONDA_1,SKU_64,3
45,CLASSE_ONDA_1,SKU_65,1
45,CLASSE_ONDA_1,SKU_66,1
45,CLASSE_ONDA_1,SKU_67,3
45,CLASSE_ONDA_1,SKU_68,3
45,CLASSE_ONDA_1,SKU_69,3
45,CLASSE_ONDA_1,SKU_70,1
45,CLASSE_ONDA_1,SKU_71,1
45,CLASSE_ONDA_1,SKU_13,2
45,CLASSE_ONDA_1,SKU_14,4
45,CLASSE_ONDA_1,SKU_15,4
45,CLASSE_ONDA_1,SKU_16,1
46,CLASSE_ONDA_1,SKU_76,1
46,CLASSE_ONDA_1,SKU_1,1
46,CLASSE_ONDA_1,SKU_49,1
46,CLASSE_ONDA_1,SKU_24,1
46,CLASSE_ONDA_1,SKU_80,1
46,CLASSE_ONDA_1,SKU_5,1
46,CLASSE_ONDA_1,SKU_6,1
46,CLASSE_ONDA_1,SKU_7,3
46,CLASSE_ONDA_1,SKU_8,6
46,CLASSE_ONDA_1,SKU_9,3
46,CLASSE_ONDA_1,SKU_10,1
46,CLASSE_ONDA_1,SKU_87,1
46,CLASSE_ONDA_1,SKU_88,2
46,CLASSE_ONDA_1,SKU_89,4
46,CLASSE_ONDA_1,SKU_90,4
46,CLASSE_ONDA_1,SKU_13,1
46,CLASSE_ONDA_1,SKU_14,2
46,CLASSE_ONDA_1,SKU_15,2
46,CLASSE_ONDA_1,SKU_16,1
46,CLASSE_ONDA_1,SKU_95,1
46,CLASSE_ONDA_1,SKU_96,1
46,CLASSE_ONDA_1,SKU_97,1
46,CLASSE_ONDA_1,SKU_98,1
46,CLASSE_ONDA_1,SKU_99,1
46,CLASSE_ONDA_1,SKU_100,1
46,CLASSE_ONDA_1,SKU_101,2
48,CLASSE_ONDA_1,SKU_102,2
48,CLASSE_ONDA_1,SKU_103,1
48,CLASSE_ONDA_1,SKU_80,1
48,CLASSE_ONDA_1,SKU_105,1
48,CLASSE_ONDA_1,SKU_106,1
48,CLASSE_ONDA_1,SKU_107,1
48,CLASSE_ONDA_1,SKU_108,2
48,CLASSE_ONDA_1,SKU_32,1
