ANDAR,CORREDOR,SKU,PECAS
0,2,SKU_17028,193
0,2,SKU_17090,524
0,2,SKU_17035,456
0,2,SKU_18137,324
0,2,SKU_17111,54
0,2,SKU_672,1
0,2,SKU_19519,53
0,2,SKU_2650,10
0,3,SKU_17052,19
0,3,SKU_17111,295
0,3,SKU_19373,92
0,3,SKU_3023,40
0,3,SKU_3024,173
0,3,SKU_743,11
0,3,SKU_2754,30
0,3,SKU_3310,11
0,3,SKU_9207,2
0,3,SKU_951,25
0,3,SKU_17,15
0,3,SKU_3453,154
0,3,SKU_832,32
0,3,SKU_21993,142
0,3,SKU_16967,46
0,3,SKU_17687,129
0,3,SKU_889,97
0,3,SKU_3537,21
0,3,SKU_852,51
0,4,SKU_17045,44
0,4,SKU_17904,66
0,4,SKU_17028,67
0,4,SKU_17090,814
0,4,SKU_17035,436
0,4,SKU_18137,79
0,4,SKU_19467,1
0,4,SKU_19772,46
0,4,SKU_17109,62
0,4,SKU_468,16
0,4,SKU_17111,49
0,4,SKU_19222,46
0,4,SKU_754,10
0,4,SKU_13259,36
0,4,SKU_19519,242
0,4,SKU_2775,89
0,4,SKU_17279,76
0,4,SKU_64,19
0,4,SKU_784,33
0,4,SKU_16967,69
0,4,SKU_17521,41
0,4,SKU_3594,28
0,5,SKU_19345,29
0,5,SKU_19373,40
0,5,SKU_19379,2
0,5,SKU_15210,242
0,5,SKU_3030,64
0,5,SKU_3031,71
0,5,SKU_21539,1
0,5,SKU_3024,69
0,5,SKU_20414,200
0,5,SKU_13836,94
0,5,SKU_9211,4
0,5,SKU_9213,3
0,5,SKU_907,58
0,5,SKU_17237,71
0,5,SKU_17306,127
0,5,SKU_3453,105
0,5,SKU_17687,33
0,5,SKU_866,162
0,5,SKU_888,155
0,5,SKU_889,155
0,5,SKU_3545,38
0,5,SKU_3546,53
0,5,SKU_3537,139
0,5,SKU_849,60
0,5,SKU_852,206
0,5,SKU_19752,34
0,6,SKU_19334,93
0,6,SKU_17025,3
0,6,SKU_17028,1130
0,6,SKU_17035,118
0,6,SKU_17093,35
0,6,SKU_18137,245
0,6,SKU_13259,7
0,6,SKU_19519,202
0,6,SKU_87,76
0,6,SKU_20587,108
0,6,SKU_5260,1
0,6,SKU_950,1
0,6,SKU_951,1
0,6,SKU_791,1
0,6,SKU_838,1
0,6,SKU_17681,1
0,7,SKU_19332,41
0,7,SKU_491,14
0,7,SKU_19475,22
0,7,SKU_19565,82
0,7,SKU_652,64
0,7,SKU_19379,158
0,7,SKU_21540,1
0,7,SKU_71,25
0,7,SKU_3023,61
0,7,SKU_3024,36
0,7,SKU_3026,149
0,7,SKU_538,204
0,7,SKU_20414,131
0,7,SKU_17273,159
0,7,SKU_14,74
0,7,SKU_17274,30
0,7,SKU_17277,34
0,7,SKU_17190,48
0,7,SKU_2024,19
0,7,SKU_907,264
0,7,SKU_21991,91
0,7,SKU_17688,48
0,7,SKU_866,57
0,7,SKU_889,229
0,7,SKU_3537,146
0,7,SKU_849,136
0,8,SKU_17045,492
0,8,SKU_17025,203
0,8,SKU_19368,148
0,8,SKU_17067,35
0,8,SKU_17090,77
0,8,SKU_18137,477
0,8,SKU_19772,2
0,8,SKU_17109,46
0,8,SKU_19374,256
0,8,SKU_21537,1
0,8,SKU_19519,89
0,8,SKU_20587,28
0,8,SKU_13465,38
0,9,SKU_17904,111
0,9,SKU_13075,59
0,9,SKU_21824,27
0,9,SKU_19373,37
0,9,SKU_15210,32
0,9,SKU_5017,19
0,9,SKU_71,78
0,9,SKU_3026,32
0,9,SKU_538,1
0,9,SKU_17272,42
0,9,SKU_15,93
0,9,SKU_9208,6
0,9,SKU_9210,12
0,9,SKU_10351,85
0,9,SKU_3459,47
0,9,SKU_21991,17
0,9,SKU_866,41
0,9,SKU_889,17
0,9,SKU_3545,80
0,9,SKU_3536,142
0,9,SKU_849,58
0,10,SKU_17045,44
0,10,SKU_18074,162
0,10,SKU_17025,142
0,10,SKU_19368,644
0,10,SKU_17148,142
0,10,SKU_17028,314
0,10,SKU_17067,86
0,10,SKU_17035,91
0,10,SKU_18137,541
0,10,SKU_17040,60
0,10,SKU_693,1
0,10,SKU_19519,2
0,10,SKU_2754,1
0,10,SKU_4049,85
0,10,SKU_4775,84
0,11,SKU_19335,1
0,11,SKU_13074,59
0,11,SKU_19954,35
0,11,SKU_19474,53
0,11,SKU_19377,112
0,11,SKU_15210,40
0,11,SKU_20041,10
0,11,SKU_19206,2
0,11,SKU_71,63
0,11,SKU_3026,1
0,11,SKU_17272,189
0,11,SKU_13057,50
0,11,SKU_13059,67
0,11,SKU_17274,45
0,11,SKU_17275,38
0,11,SKU_685,395
0,11,SKU_17190,300
0,11,SKU_19724,17
0,11,SKU_9208,2
0,11,SKU_907,63
0,11,SKU_967,229
0,11,SKU_17306,52
0,11,SKU_3459,196
0,11,SKU_3534,54
0,11,SKU_3545,71
0,11,SKU_3546,46
0,11,SKU_849,22
0,11,SKU_19646,97
0,11,SKU_19648,58
0,11,SKU_19750,91
0,11,SKU_333,13
0,12,SKU_13065,79
0,12,SKU_18074,88
0,12,SKU_17025,84
0,12,SKU_19368,67
0,12,SKU_17148,116
0,12,SKU_17028,708
0,12,SKU_1311,40
0,12,SKU_17067,77
0,12,SKU_17090,353
0,12,SKU_17035,598
0,12,SKU_18137,154
0,12,SKU_17194,817
0,12,SKU_17109,872
0,12,SKU_18097,5
0,12,SKU_17219,115
0,12,SKU_17111,462
0,12,SKU_17264,77
0,12,SKU_449,46
0,12,SKU_20587,69
0,13,SKU_185,43
0,13,SKU_1395,1
0,13,SKU_21824,53
0,13,SKU_19469,31
0,13,SKU_113,121
0,13,SKU_19544,11
0,13,SKU_17273,45
0,13,SKU_13057,51
0,13,SKU_11097,12
0,13,SKU_17305,43
0,13,SKU_17306,136
0,13,SKU_3452,109
0,13,SKU_3459,166
0,13,SKU_826,64
0,13,SKU_21554,3
0,13,SKU_888,311
0,13,SKU_3533,123
0,13,SKU_3545,36
0,13,SKU_3546,93
0,13,SKU_3536,36
0,13,SKU_849,59
0,13,SKU_19748,58
0,14,SKU_17045,359
0,14,SKU_18074,299
0,14,SKU_19368,254
0,14,SKU_17027,4
0,14,SKU_17090,129
0,14,SKU_17035,52
0,14,SKU_18030,35
0,14,SKU_18137,656
0,14,SKU_17040,44
0,14,SKU_17194,509
0,14,SKU_17109,222
0,14,SKU_17219,756
0,14,SKU_19374,140
0,14,SKU_164,1
0,14,SKU_17221,61
0,14,SKU_17115,50
0,14,SKU_20587,10
0,14,SKU_3413,4
0,15,SKU_19335,10
0,15,SKU_19422,45
0,15,SKU_185,158
0,15,SKU_19469,51
0,15,SKU_19230,96
