wave_class,iteration,best_avg_area,n_waves,n_boxes
CLASSE_ONDA_6,1,1.0,4,6
CLASSE_ONDA_6,2,1.0,5,6
CLASSE_ONDA_6,3,1.0,4,6
CLASSE_ONDA_6,4,1.0,4,6
CLASSE_ONDA_6,5,1.0,5,6
CLASSE_ONDA_6,6,1.0,5,6
CLASSE_ONDA_6,7,1.0,6,6
CLASSE_ONDA_6,8,1.0,5,6
CLASSE_ONDA_6,9,1.0,4,6
CLASSE_ONDA_6,10,1.0,5,6
CLASSE_ONDA_5,1,33.94444444444444,36,261
CLASSE_ONDA_5,2,29.666666666666668,39,261
CLASSE_ONDA_5,3,29.522727272727273,44,261
CLASSE_ONDA_5,4,29.522727272727273,38,261
CLASSE_ONDA_5,5,29.522727272727273,39,261
CLASSE_ONDA_5,6,29.522727272727273,35,261
CLASSE_ONDA_5,7,29.522727272727273,41,261
CLASSE_ONDA_5,8,29.522727272727273,42,261
CLASSE_ONDA_5,9,29.522727272727273,38,261
CLASSE_ONDA_5,10,29.522727272727273,42,261
CLASSE_ONDA_3,1,40.97752808988764,178,2351
CLASSE_ONDA_3,2,40.97752808988764,167,2351
CLASSE_ONDA_3,3,40.97752808988764,163,2351
CLASSE_ONDA_3,4,40.625766871165645,163,2351
CLASSE_ONDA_3,5,40.625766871165645,166,2351
CLASSE_ONDA_3,6,40.625766871165645,172,2351
CLASSE_ONDA_3,7,40.625766871165645,167,2351
CLASSE_ONDA_3,8,40.625766871165645,167,2351
CLASSE_ONDA_3,9,40.625766871165645,165,2351
CLASSE_ONDA_3,10,40.52023121387283,173,2351
CLASSE_ONDA_4,1,54.46666666666667,195,2611
CLASSE_ONDA_4,2,53.17204301075269,186,2611
CLASSE_ONDA_4,3,50.713592233009706,206,2611
CLASSE_ONDA_4,4,50.713592233009706,195,2611
CLASSE_ONDA_4,5,50.713592233009706,181,2611
CLASSE_ONDA_4,6,50.713592233009706,195,2611
CLASSE_ONDA_4,7,50.713592233009706,200,2611
CLASSE_ONDA_4,8,50.713592233009706,200,2611
CLASSE_ONDA_4,9,50.713592233009706,204,2611
CLASSE_ONDA_4,10,50.713592233009706,198,2611
CLASSE_ONDA_2,1,54.66438356164384,292,3870
CLASSE_ONDA_2,2,54.54325259515571,289,3870
CLASSE_ONDA_2,3,54.54325259515571,277,3870
CLASSE_ONDA_2,4,53.525597269624576,293,3870
CLASSE_ONDA_2,5,53.525597269624576,285,3870
CLASSE_ONDA_2,6,53.525597269624576,270,3870
CLASSE_ONDA_2,7,53.525597269624576,288,3870
CLASSE_ONDA_2,8,53.525597269624576,282,3870
CLASSE_ONDA_2,9,53.525597269624576,289,3870
CLASSE_ONDA_2,10,53.525597269624576,280,3870
CLASSE_ONDA_1,1,53.26802507836991,638,12982
CLASSE_ONDA_1,2,53.26802507836991,631,12982
CLASSE_ONDA_1,3,53.26802507836991,638,12982
CLASSE_ONDA_1,4,53.26802507836991,611,12982
CLASSE_ONDA_1,5,53.26802507836991,646,12982
CLASSE_ONDA_1,6,53.26802507836991,636,12982
CLASSE_ONDA_1,7,53.10653409090909,704,12982
CLASSE_ONDA_1,8,53.10653409090909,670,12982
CLASSE_ONDA_1,9,53.10653409090909,627,12982
CLASSE_ONDA_1,10,53.10653409090909,637,12982
