wave,wave_class,caixa_id,sku,pieces,floor,corridor,allocated_qty
Onda 1,CLASSE_ONDA_5,577,SKU_21815,1,1,74,1
Onda 1,CLASSE_ONDA_5,578,SKU_21819,2,0,143,2
Onda 1,CLASSE_ONDA_5,797,SKU_21881,1,0,139,1
Onda 1,CLASSE_ONDA_5,957,SKU_21881,3,0,139,3
Onda 1,CLASSE_ONDA_5,1029,SKU_21920,2,0,143,2
Onda 1,CLASSE_ONDA_5,1034,SKU_21832,1,2,19,1
Onda 1,CLASSE_ONDA_5,2804,SKU_21922,2,0,143,2
Onda 1,CLASSE_ONDA_5,2969,SKU_21922,2,0,143,2
Onda 2,CLASSE_ONDA_5,577,SKU_21816,3,0,101,3
Onda 2,CLASSE_ONDA_5,578,SKU_21822,2,0,99,2
Onda 2,CLASSE_ONDA_5,770,SKU_21830,5,2,45,5
Onda 2,CLASSE_ONDA_5,772,SKU_21830,2,2,45,2
Onda 2,CLASSE_ONDA_5,774,SKU_21840,3,0,89,3
Onda 2,CLASSE_ONDA_5,796,SKU_21830,5,2,45,5
Onda 2,CLASSE_ONDA_5,2805,SKU_21830,1,2,45,1
Onda 3,CLASSE_ONDA_5,577,SKU_21817,3,0,135,3
Onda 3,CLASSE_ONDA_5,577,SKU_21819,2,0,143,2
Onda 3,CLASSE_ONDA_5,771,SKU_21828,2,2,127,2
Onda 3,CLASSE_ONDA_5,773,SKU_21850,1,0,133,1
Onda 3,CLASSE_ONDA_5,1034,SKU_21920,4,0,143,4
Onda 3,CLASSE_ONDA_5,2805,SKU_21920,4,0,143,4
Onda 3,CLASSE_ONDA_5,2962,SKU_21922,2,0,143,2
Onda 3,CLASSE_ONDA_5,2964,SKU_21920,2,0,143,2
Onda 3,CLASSE_ONDA_5,2971,SKU_21921,4,0,125,4
Onda 4,CLASSE_ONDA_5,577,SKU_21818,1,0,151,1
Onda 4,CLASSE_ONDA_5,578,SKU_21817,2,0,135,2
Onda 4,CLASSE_ONDA_5,772,SKU_21850,1,0,133,1
Onda 4,CLASSE_ONDA_5,773,SKU_21821,1,0,125,1
Onda 4,CLASSE_ONDA_5,774,SKU_21821,1,0,125,1
Onda 4,CLASSE_ONDA_5,958,SKU_21881,2,0,139,2
Onda 4,CLASSE_ONDA_5,1027,SKU_21842,7,0,113,7
Onda 4,CLASSE_ONDA_5,1028,SKU_21918,2,0,115,2
Onda 4,CLASSE_ONDA_5,1028,SKU_21922,2,0,143,2
Onda 4,CLASSE_ONDA_5,1029,SKU_21922,1,0,143,1
Onda 4,CLASSE_ONDA_5,1031,SKU_21922,2,0,143,2
Onda 4,CLASSE_ONDA_5,1031,SKU_21842,2,0,113,2
Onda 4,CLASSE_ONDA_5,1034,SKU_21922,2,0,143,2
Onda 4,CLASSE_ONDA_5,1036,SKU_21920,4,0,143,4
Onda 4,CLASSE_ONDA_5,1036,SKU_21922,2,0,143,2
Onda 4,CLASSE_ONDA_5,2960,SKU_21921,2,0,125,2
Onda 4,CLASSE_ONDA_5,2962,SKU_21920,1,0,143,1
Onda 4,CLASSE_ONDA_5,2967,SKU_21920,4,0,143,4
Onda 4,CLASSE_ONDA_5,2971,SKU_21920,1,0,143,1
Onda 4,CLASSE_ONDA_5,2973,SKU_21921,2,0,125,2
Onda 4,CLASSE_ONDA_5,2975,SKU_21920,9,0,143,9
Onda 5,CLASSE_ONDA_5,577,SKU_21820,2,0,141,2
Onda 5,CLASSE_ONDA_5,771,SKU_21831,4,0,158,4
Onda 5,CLASSE_ONDA_5,774,SKU_21831,2,0,158,2
Onda 5,CLASSE_ONDA_5,796,SKU_21831,6,0,158,6
Onda 5,CLASSE_ONDA_5,797,SKU_21831,6,0,158,6
Onda 5,CLASSE_ONDA_5,797,SKU_21832,2,2,19,2
