caixa_id,area_total,demanda_atendida
5039,1,Sim
6250,1,Sim
6268,1,Sim
6270,1,Sim
6284,1,Sim
6285,1,Sim
6297,1,Sim
6304,1,Sim
6305,1,Sim
6306,1,Sim
6308,1,Sim
6310,1,Sim
6311,1,Sim
6312,1,Sim
6313,1,Sim
1204,1,Sim
4570,1,Sim
4573,1,Sim
6430,1,Sim
6431,1,Sim
6628,1,Sim
6790,1,Sim
6792,1,Sim
6829,1,Sim
6847,1,Sim
6852,1,Sim
6859,1,Sim
6863,1,Sim
6865,1,Sim
6866,1,Sim
6867,1,Sim
6868,1,Sim
6869,1,Sim
6871,1,Sim
6874,1,Sim
6875,1,Sim
6876,1,Sim
6878,1,Sim
6880,1,Sim
6881,1,Sim
6882,1,Sim
6885,1,Sim
6888,1,Sim
6890,1,Sim
6891,1,Sim
6894,1,Sim
6895,1,Sim
6896,1,Sim
6900,1,Sim
6901,1,Sim
6903,1,Sim
6909,1,Sim
6911,1,Sim
6925,1,Sim
6933,1,Sim
6480,1,Sim
6482,1,Sim
6483,1,Sim
6486,1,Sim
6489,1,Sim
6490,1,Sim
6492,1,Sim
6493,1,Sim
6496,1,Sim
6503,1,Sim
6504,1,Sim
6507,1,Sim
6510,1,Sim
6511,1,Sim
6512,1,Sim
6513,1,Sim
6514,1,Sim
6515,1,Sim
6516,1,Sim
6524,1,Sim
6528,1,Sim
6531,1,Sim
6532,1,Sim
6544,1,Sim
6545,1,Sim
6547,1,Sim
6552,1,Sim
6553,1,Sim
6556,1,Sim
6559,1,Sim
6561,1,Sim
6576,1,Sim
6577,1,Sim
6582,1,Sim
654,1,Sim
655,1,Sim
1072,1,Sim
1074,1,Sim
1076,1,Sim
1077,1,Sim
1078,1,Sim
5945,1,Sim
5955,1,Sim
5957,1,Sim
5958,1,Sim
5959,1,Sim
6646,1,Sim
6647,1,Sim
6654,1,Sim
6656,1,Sim
6657,1,Sim
6664,1,Sim
6677,1,Sim
6684,1,Sim
6690,1,Sim
6702,1,Sim
6714,1,Sim
6715,1,Sim
6717,1,Sim
6769,1,Sim
6770,1,Sim
6772,1,Sim
6774,1,Sim
610,1,Sim
612,1,Sim
613,1,Sim
614,1,Sim
616,1,Sim
617,1,Sim
927,1,Sim
3884,1,Sim
4156,1,Sim
4671,1,Sim
4985,1,Sim
4987,1,Sim
2961,1,Sim
2963,1,Sim
2964,1,Sim
6068,2,Sim
6206,2,Sim
6239,2,Sim
6247,2,Sim
6248,2,Sim
6249,2,Sim
1079,2,Sim
1085,2,Sim
4547,2,Sim
4564,2,Sim
4606,2,Sim
5989,2,Sim
5992,2,Sim
6018,2,Sim
6033,2,Sim
