         6515894713 function calls (6356657814 primitive calls) in 1951.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  195/194    0.006    0.000 1948.699   10.045 /opt/homebrew/Cellar/python@3.12/3.12.6/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:637(wait)
  195/194    0.001    0.000 1948.685   10.045 /opt/homebrew/Cellar/python@3.12/3.12.6/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:323(wait)
     1945   11.614    0.006 1909.131    0.982 /Users/raphael/Documents/GitHub/order-batching/src/teste3.py:60(update_sku_corredores)
      2/1    1.126    0.563 1232.527 1232.527 /Users/raphael/Documents/GitHub/order-batching/src/teste3.py:152(main)
  4029558    1.946    0.000 1126.752    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
  4025540    3.321    0.000 1124.474    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:2063(to_dict)
  4025540   42.064    0.000 1121.152    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/methods/to_dict.py:78(to_dict)
  4214987   12.641    0.000  735.219    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)
  780/774    0.573    0.001  716.156    0.925 {method 'acquire' of '_thread.lock' objects}
  4025540    8.265    0.000  552.554    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:1559(itertuples)
  4025554    2.774    0.000  512.998    0.000 {method 'extend' of 'list' objects}
 16102160    6.856    0.000  510.224    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:1630(<genexpr>)
12139653/12118642   21.857    0.000  504.489    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1176(__getitem__)
  4073650   11.547    0.000  473.094    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:6186(_get_indexer_strict)
 12097631   12.808    0.000  466.029    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:6432(dtypes)
12277649/12277647   55.084    0.000  411.873    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
 12076620   14.896    0.000  407.234    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1689(_getitem_tuple)
 12097631   28.001    0.000  288.438    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1032(_getitem_lowerdim)
  8147300   19.745    0.000  274.900    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:3820(get_indexer)
1354780539/1354500543  143.156    0.000  253.868    0.000 {built-in method builtins.isinstance}
  4060802    5.290    0.000  228.398    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:4142(_take_with_is_copy)
 12097631   16.549    0.000  212.961    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1719(_getitem_axis)
 36780273   11.410    0.000  210.175    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:7593(ensure_index)
  4062747    8.558    0.000  209.137    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:4027(take)
  4073650    7.433    0.000  203.056    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:4323(reindex)
  4073650    2.485    0.000  196.263    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:6162(get_indexer_for)
  8090238   27.548    0.000  191.883    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
  4062748    5.050    0.000  178.952    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:869(take)
 20346882   48.162    0.000  160.785    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
 12197750   11.340    0.000  151.515    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:3983(_ixs)
  4083759    6.358    0.000  126.293    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
  4054583   22.448    0.000  115.177    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:708(_slice_take_blocks_ax0)
  8147300    2.061    0.000  106.999    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:6679(_maybe_cast_listlike_indexer)
 12076620   11.930    0.000  104.043    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:957(_validate_tuple_indexer)
268413133   43.812    0.000  102.173    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
