sku,floor,corridor,stock_available,stock_used,stock_remaining
SKU_17028,0,6,1130,6,1124
SKU_17028,0,34,765,0,765
SKU_17028,0,12,708,0,708
SKU_17028,0,30,617,0,617
SKU_17028,0,24,350,0,350
SKU_17028,0,10,314,0,314
SKU_17028,0,32,242,0,242
SKU_17028,0,2,193,0,193
SKU_17028,0,36,160,0,160
SKU_17028,0,16,158,0,158
SKU_17028,0,22,113,0,113
SKU_17028,0,38,103,0,103
SKU_17028,0,162,94,0,94
SKU_17028,0,18,69,0,69
SKU_17028,0,4,67,0,67
SKU_17028,0,28,63,0,63
SKU_17028,0,40,55,0,55
SKU_17028,0,26,13,0,13
SKU_17028,0,82,11,0,11
SKU_17028,0,20,1,0,1
SKU_17028,0,44,1,0,1
SKU_17028,0,104,1,0,1
SKU_17028,0,128,1,0,1
SKU_17028,0,138,1,0,1
SKU_17028,1,166,1,0,1
SKU_17090,0,4,814,2,812
SKU_17090,0,20,628,0,628
SKU_17090,0,16,574,0,574
SKU_17090,0,2,524,0,524
SKU_17090,0,18,490,0,490
SKU_17090,0,12,353,0,353
SKU_17090,0,24,172,0,172
SKU_17090,0,14,129,0,129
SKU_17090,0,50,120,0,120
SKU_17090,0,22,114,0,114
SKU_17090,0,8,77,0,77
SKU_17090,0,48,63,0,63
SKU_17090,0,54,58,0,58
SKU_17090,0,26,53,0,53
SKU_17090,0,30,24,0,24
SKU_17090,0,58,2,0,2
SKU_17090,0,154,1,0,1
SKU_17090,1,168,1,0,1
SKU_17035,0,12,598,5,593
SKU_17035,0,2,456,0,456
SKU_17035,0,4,436,0,436
SKU_17035,0,20,371,0,371
SKU_17035,0,48,168,0,168
SKU_17035,0,46,148,0,148
SKU_17035,0,36,147,0,147
SKU_17035,0,24,132,0,132
SKU_17035,0,32,122,0,122
SKU_17035,0,6,118,0,118
SKU_17035,0,26,102,0,102
SKU_17035,0,50,96,0,96
SKU_17035,0,10,91,0,91
SKU_17035,0,52,66,0,66
SKU_17035,0,14,52,0,52
SKU_17035,0,22,1,0,1
SKU_17035,0,30,1,0,1
SKU_17035,0,154,1,0,1
SKU_17035,0,160,1,0,1
SKU_18137,0,14,656,1,655
SKU_18137,0,10,541,0,541
SKU_18137,0,8,477,0,477
SKU_18137,0,2,324,0,324
SKU_18137,0,20,249,0,249
SKU_18137,0,6,245,0,245
SKU_18137,0,28,243,0,243
SKU_18137,0,32,201,0,201
SKU_18137,0,12,154,0,154
SKU_18137,0,16,98,0,98
SKU_18137,0,4,79,0,79
SKU_18137,0,24,68,0,68
SKU_18137,0,36,53,0,53
SKU_18137,0,82,31,0,31
SKU_18137,0,66,24,0,24
SKU_18137,0,162,1,0,1
SKU_17111,0,134,1389,9,1380
SKU_17111,0,54,1027,0,1027
SKU_17111,0,132,894,0,894
SKU_17111,0,12,462,0,462
SKU_17111,0,3,295,0,295
SKU_17111,0,136,269,0,269
SKU_17111,0,142,254,0,254
SKU_17111,0,16,225,0,225
SKU_17111,0,138,223,0,223
SKU_17111,0,46,202,0,202
SKU_17111,0,62,126,0,126
SKU_17111,0,52,75,0,75
SKU_17111,0,2,54,0,54
SKU_17111,0,4,49,0,49
SKU_17111,0,56,40,0,40
SKU_17111,0,32,38,0,38
SKU_17111,0,146,21,0,21
SKU_17111,1,166,1,0,1
SKU_672,2,25,126,5,121
SKU_672,0,84,115,0,115
SKU_672,0,80,104,0,104
SKU_672,2,21,72,0,72
SKU_672,0,34,63,0,63
SKU_672,0,96,52,0,52
SKU_672,1,77,21,0,21
SKU_672,2,13,12,0,12
SKU_672,0,2,1,0,1
SKU_19519,0,24,288,5,283
SKU_19519,0,32,245,0,245
SKU_19519,0,4,242,0,242
SKU_19519,0,28,236,0,236
SKU_19519,0,54,208,0,208
SKU_19519,0,6,202,0,202
SKU_19519,0,8,89,0,89
SKU_19519,0,162,76,0,76
SKU_19519,0,46,55,0,55
SKU_19519,0,2,53,0,53
SKU_19519,0,22,52,0,52
SKU_19519,0,56,48,0,48
SKU_19519,0,10,2,0,2
SKU_19519,0,166,2,0,2
SKU_2650,0,2,10,2,8
SKU_17052,0,47,22,7,15
SKU_17052,0,3,19,0,19
SKU_19373,0,3,92,4,88
SKU_19373,0,5,40,0,40
SKU_19373,0,9,37,0,37
SKU_3023,0,7,61,13,48
SKU_3023,0,3,40,0,40
SKU_3024,0,3,173,36,137
SKU_3024,0,5,69,0,69
SKU_3024,0,7,36,0,36
SKU_743,0,37,61,44,17
SKU_743,0,41,61,0,61
SKU_743,0,39,49,0,49
SKU_743,0,49,40,0,40
SKU_743,0,35,33,0,33
SKU_743,0,3,11,0,11
SKU_743,0,51,8,0,8
SKU_2754,0,3,30,1,29
SKU_2754,0,10,1,0,1
SKU_2754,0,128,1,0,1
SKU_3310,0,77,74,12,62
SKU_3310,0,3,11,0,11
SKU_9207,0,159,5,5,0
SKU_9207,0,3,2,0,2
SKU_951,0,51,79,15,64
SKU_951,0,53,70,0,70
SKU_951,0,49,34,0,34
SKU_951,0,3,25,0,25
SKU_951,0,85,5,0,5
SKU_951,0,6,1,0,1
SKU_17,0,160,49,2,47
SKU_17,0,3,15,0,15
SKU_3453,0,3,154,27,127
SKU_3453,0,5,105,0,105
SKU_832,0,105,148,50,98
SKU_832,0,73,102,0,102
SKU_832,0,103,78,0,78
SKU_832,0,83,58,0,58
SKU_832,0,3,32,0,32
SKU_21993,0,3,142,5,137
SKU_21993,2,167,30,0,30
SKU_16967,0,4,69,4,65
SKU_16967,0,3,46,0,46
SKU_17687,0,3,129,6,123
SKU_17687,0,5,33,0,33
SKU_889,0,7,229,55,174
SKU_889,0,5,155,0,155
SKU_889,0,3,97,0,97
SKU_889,0,9,17,0,17
SKU_3537,0,7,146,36,110
SKU_3537,0,5,139,0,139
SKU_3537,0,29,28,0,28
SKU_3537,0,3,21,0,21
SKU_3537,0,15,1,0,1
SKU_852,0,5,206,33,173
SKU_852,0,3,51,0,51
SKU_17045,0,8,492,13,479
SKU_17045,0,14,359,0,359
SKU_17045,0,22,257,0,257
SKU_17045,0,36,163,0,163
SKU_17045,0,34,102,0,102
SKU_17045,0,38,95,0,95
SKU_17045,0,42,76,0,76
SKU_17045,0,16,47,0,47
SKU_17045,0,30,46,0,46
SKU_17045,0,4,44,0,44
SKU_17045,0,10,44,0,44
SKU_17045,1,120,44,0,44
SKU_17045,0,152,20,0,20
SKU_17045,0,124,3,0,3
SKU_17045,0,28,2,0,2
SKU_17045,0,18,1,0,1
SKU_17045,0,26,1,0,1
SKU_17045,0,32,1,0,1
SKU_17045,0,40,1,0,1
SKU_17045,0,44,1,0,1
SKU_17045,0,90,1,0,1
SKU_17045,0,158,1,0,1
SKU_17045,2,158,1,0,1
SKU_17904,0,92,863,2,861
SKU_17904,0,120,237,0,237
SKU_17904,0,118,188,0,188
SKU_17904,0,126,182,0,182
SKU_17904,0,83,174,0,174
SKU_17904,0,114,161,0,161
SKU_17904,0,89,120,0,120
SKU_17904,0,87,112,0,112
SKU_17904,0,9,111,0,111
SKU_17904,0,112,94,0,94
SKU_17904,0,104,86,0,86
SKU_17904,0,116,83,0,83
SKU_17904,0,98,80,0,80
SKU_17904,0,124,80,0,80
SKU_17904,0,85,73,0,73
SKU_17904,0,4,66,0,66
SKU_17904,0,45,48,0,48
SKU_17904,0,91,35,0,35
SKU_17904,0,77,18,0,18
SKU_17904,0,43,1,0,1
SKU_17904,0,100,1,0,1
SKU_17904,0,128,1,0,1
SKU_17904,0,140,1,0,1
SKU_17904,0,152,1,0,1
SKU_17904,0,160,1,0,1
SKU_19467,2,7,63,2,61
SKU_19467,2,11,59,0,59
SKU_19467,2,9,37,0,37
SKU_19467,2,79,27,0,27
SKU_19467,2,14,9,0,9
SKU_19467,1,72,5,0,5
SKU_19467,1,108,2,0,2
SKU_19467,0,4,1,0,1
SKU_19772,1,165,130,3,127
SKU_19772,0,120,116,0,116
SKU_19772,1,163,108,0,108
SKU_19772,1,167,99,0,99
SKU_19772,0,80,76,0,76
SKU_19772,0,60,51,0,51
SKU_19772,0,4,46,0,46
SKU_19772,0,104,32,0,32
SKU_19772,0,34,5,0,5
SKU_19772,0,8,2,0,2
SKU_19772,0,74,1,0,1
SKU_19772,1,148,1,0,1
SKU_19772,1,160,1,0,1
SKU_19772,1,166,1,0,1
SKU_17109,0,12,872,7,865
SKU_17109,0,60,460,0,460
SKU_17109,0,22,252,0,252
SKU_17109,0,14,222,0,222
